,Title,Link,Rating,Release Year
211,The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_212,8.1,1998
212,Room,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_213,8.1,2015
213,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_214,8.1,1957
214,Rocky,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_215,8.1,1976
215,Logan,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_216,8.1,2017
216,Spotlight,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_217,8.1,2015
217,Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_218,8.1,2004
218,The Terminator,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_219,8.1,1984
219,Platoon,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_220,8.1,1986
220,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_221,8.1,1928
221,La haine,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_222,8.1,1995
222,Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_223,8.1,2004
223,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_224,8.1,1946
224,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_225,8.1,2003
225,The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_226,8.1,1973
226,Rush,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_227,8.1,2013
227,Network,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_228,8.1,1976
228,Jai Bhim,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_229,8.7,2021
229,Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_230,8.1,1986
230,The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_231,8.1,1939
231,The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_232,8.0,2004
232,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_233,8.1,2009
233,Ah-ga-ssi,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_234,8.1,2016
234,Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_235,8.1,2007
235,Babam ve Oglum,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_236,8.2,2005
236,The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_237,8.1,1965
237,To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_238,8.1,1942
238,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_239,8.1,1940
239,La battaglia di Algeri,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_240,8.1,1966
240,Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_241,8.0,1993
241,Amores perros,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_242,8.1,2000
242,Rebecca,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_243,8.1,1940
243,The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_244,8.1,1999
244,Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=chttp_i_245,8.1,1967
245,The Help,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_246,8.1,2011
246,It Happened One Night,https://www.imdb.com/title/tt0025316/?ref_=chttp_i_247,8.1,1934
247,Aladdin,https://www.imdb.com/title/tt0103639/?ref_=chttp_i_248,8.0,1992
248,Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=chttp_i_249,8.0,1990
249,"Paris, Texas",https://www.imdb.com/title/tt0087884/?ref_=chttp_i_250,8.1,1984
